link,link/_text,link/_title,item_link,item_link/_text,item_link/_title,itemlink_image,itemlink_image/_alt,item_price,priceitem_number,installmentsquantity_number,mesesde_label,text_price,pricetext_number,envogratis_label,envogratis_value,envogratis_value_numbers,distrito_label
"http://articulo.mercadolibre.com.mx/MLM-571496338-videojuego-figura-amiibo-bowser-mario-party-10-nintendo-wiiu-_JM","Videojuego Figura Amiibo Bowser Mario Party 10 Nintendo Wiiu","","http://articulo.mercadolibre.com.mx/MLM-571496338-videojuego-figura-amiibo-bowser-mario-party-10-nintendo-wiiu-_JM","","","https://http2.mlstatic.com/videojuegos-D_Q_NP_118515-MLM25247902884_122016-H.jpg","Videojuego Figura Amiibo Bowser Mario Party 10 Nintendo Wiiu","999","0","12","meses de","98","69","Envío gratis","","","Distrito Federal"
"http://articulo.mercadolibre.com.mx/MLM-571496076-figura-amiibo-rob-famicom-super-smash-bros-nintendo-wii-u-_JM","Figura Amiibo R.o.b. Famicom Super Smash Bros Nintendo Wii U","","http://articulo.mercadolibre.com.mx/MLM-571496076-figura-amiibo-rob-famicom-super-smash-bros-nintendo-wii-u-_JM","","","https://http2.mlstatic.com/amiibo-nintendo-D_Q_NP_142515-MLM25247902730_122016-H.jpg","Figura Amiibo R.o.b. Famicom Super Smash Bros Nintendo Wii U","349","0","12","meses de","34","48","Envío gratis","","","Distrito Federal"
"http://articulo.mercadolibre.com.mx/MLM-571496376-videojuego-pokemon-super-mystery-dungeon-nintendo-3ds-gamer-_JM","Videojuego Pokemon Super Mystery Dungeon Nintendo 3ds Gamer","","http://articulo.mercadolibre.com.mx/MLM-571496376-videojuego-pokemon-super-mystery-dungeon-nintendo-3ds-gamer-_JM","","","https://http2.mlstatic.com/videojuegos-D_Q_NP_764515-MLM25247909081_122016-H.jpg","Videojuego Pokemon Super Mystery Dungeon Nintendo 3ds Gamer","999","0","12","meses de","98","69","Envío gratis","","","Distrito Federal"
"http://articulo.mercadolibre.com.mx/MLM-571496149-figura-amiibo-ganondorf-super-smash-bros-nintendo-wii-u-_JM","Figura Amiibo Ganondorf Super Smash Bros Nintendo Wii U","","http://articulo.mercadolibre.com.mx/MLM-571496149-figura-amiibo-ganondorf-super-smash-bros-nintendo-wii-u-_JM","","","https://http2.mlstatic.com/amiibo-nintendo-D_Q_NP_655515-MLM25247907089_122016-H.jpg","Figura Amiibo Ganondorf Super Smash Bros Nintendo Wii U","349","0","12","meses de","34","48","Envío gratis","","","Distrito Federal"
"http://articulo.mercadolibre.com.mx/MLM-571496046-accesorio-control-nintendo-wii-remote-plus-version-toad-_JM","Accesorio Control Nintendo Wii Remote Plus Version Toad","","http://articulo.mercadolibre.com.mx/MLM-571496046-accesorio-control-nintendo-wii-remote-plus-version-toad-_JM","","","https://http2.mlstatic.com/nintendo-wii-u-accesorios-controles-wii-remote-D_Q_NP_993515-MLM25247897988_122016-H.jpg","Accesorio Control Nintendo Wii Remote Plus Version Toad","1199","0","12","meses de","118","45","Envío gratis","","","Distrito Federal"
"http://articulo.mercadolibre.com.mx/MLM-571496339-videojuego-nintendo-land-nintendo-wii-u-gamer-_JM","Videojuego Nintendo Land Nintendo Wii U Gamer","","http://articulo.mercadolibre.com.mx/MLM-571496339-videojuego-nintendo-land-nintendo-wii-u-gamer-_JM","","","https://http2.mlstatic.com/nintendo-wii-u-D_Q_NP_460515-MLM25247902886_122016-H.jpg","Videojuego Nintendo Land Nintendo Wii U Gamer","599","0","12","meses de","59","18","Envío gratis","","","Distrito Federal"
"http://articulo.mercadolibre.com.mx/MLM-571496367-videojuego-pokemon-x-nintendo-3ds-gaming-gamer-_JM","Videojuego Pokemon X Nintendo 3ds Gaming Gamer","","http://articulo.mercadolibre.com.mx/MLM-571496367-videojuego-pokemon-x-nintendo-3ds-gaming-gamer-_JM","","","https://http2.mlstatic.com/videojuegos-D_Q_NP_314515-MLM25247902901_122016-H.jpg","Videojuego Pokemon X Nintendo 3ds Gaming Gamer","999","0","12","meses de","98","69","Envío gratis","","","Distrito Federal"
"http://articulo.mercadolibre.com.mx/MLM-571496242-videojuego-aventura-pokemon-sun-nintendo-3ds-gamer-_JM","Videojuego Aventura Pokemon Sun Nintendo 3ds Gamer","","http://articulo.mercadolibre.com.mx/MLM-571496242-videojuego-aventura-pokemon-sun-nintendo-3ds-gamer-_JM","","","https://http2.mlstatic.com/videojuegos-D_Q_NP_819515-MLM25247907152_122016-H.jpg","Videojuego Aventura Pokemon Sun Nintendo 3ds Gamer","1099","0","12","meses de","108","57","Envío gratis","","","Distrito Federal"
"http://articulo.mercadolibre.com.mx/MLM-571496403-videojuego-star-fox-zero-nintendo-wii-u-gamer-_JM","Videojuego Star Fox Zero Nintendo Wii U Gamer","","http://articulo.mercadolibre.com.mx/MLM-571496403-videojuego-star-fox-zero-nintendo-wii-u-gamer-_JM","","","https://http2.mlstatic.com/videojuegos-D_Q_NP_973515-MLM25247901977_122016-H.jpg","Videojuego Star Fox Zero Nintendo Wii U Gamer","1399","0","12","meses de","138","21","Envío gratis","","","Distrito Federal"
"http://articulo.mercadolibre.com.mx/MLM-571496273-videojuego-mario-sonic-rio-2016-olympic-games-nintendo-3ds-_JM","Videojuego Mario & Sonic Rio 2016 Olympic Games Nintendo 3ds","","http://articulo.mercadolibre.com.mx/MLM-571496273-videojuego-mario-sonic-rio-2016-olympic-games-nintendo-3ds-_JM","","","https://http2.mlstatic.com/videojuegos-D_Q_NP_602515-MLM25247908081_122016-H.jpg","Videojuego Mario & Sonic Rio 2016 Olympic Games Nintendo 3ds","999","0","12","meses de","98","69","Envío gratis","","","Distrito Federal"
"http://articulo.mercadolibre.com.mx/MLM-571496306-videojuego-mario-luigi-paper-jam-nintendo-3ds-gamer-_JM","Videojuego Mario & Luigi Paper Jam Nintendo 3ds Gamer","","http://articulo.mercadolibre.com.mx/MLM-571496306-videojuego-mario-luigi-paper-jam-nintendo-3ds-gamer-_JM","","","https://http2.mlstatic.com/videojuegos-D_Q_NP_138515-MLM25247906653_122016-H.jpg","Videojuego Mario & Luigi Paper Jam Nintendo 3ds Gamer","999","0","12","meses de","98","69","Envío gratis","","","Distrito Federal"
"http://articulo.mercadolibre.com.mx/MLM-571496215-figura-amiibo-kappn-serie-animal-crossing-nintendo-wii-u-_JM","Figura Amiibo Kapp'n Serie Animal Crossing Nintendo Wii U","","http://articulo.mercadolibre.com.mx/MLM-571496215-figura-amiibo-kappn-serie-animal-crossing-nintendo-wii-u-_JM","","","https://http2.mlstatic.com/amiibo-nintendo-D_Q_NP_171515-MLM25247908043_122016-H.jpg","Figura Amiibo Kapp","299","0","12","meses de","29","54","Envío gratis","","","Distrito Federal"
"http://articulo.mercadolibre.com.mx/MLM-571496276-videojuego-hyrule-warriors-legends-nintendo-3ds-gamer-_JM","Videojuego Hyrule Warriors Legends Nintendo 3ds Gamer","","http://articulo.mercadolibre.com.mx/MLM-571496276-videojuego-hyrule-warriors-legends-nintendo-3ds-gamer-_JM","","","https://http2.mlstatic.com/videojuegos-D_Q_NP_422515-MLM25247907179_122016-H.jpg","Videojuego Hyrule Warriors Legends Nintendo 3ds Gamer","999","0","12","meses de","98","69","Envío gratis","","","Distrito Federal"
"http://articulo.mercadolibre.com.mx/MLM-571496415-videojuego-pokemon-omega-ruby-nintendo-3ds-gamer-_JM","Videojuego Pokemon Omega Ruby Nintendo 3ds Gamer","","http://articulo.mercadolibre.com.mx/MLM-571496415-videojuego-pokemon-omega-ruby-nintendo-3ds-gamer-_JM","","","https://http2.mlstatic.com/videojuegos-D_Q_NP_918515-MLM25247906714_122016-H.jpg","Videojuego Pokemon Omega Ruby Nintendo 3ds Gamer","999","0","12","meses de","98","69","Envío gratis","","","Distrito Federal"
"http://articulo.mercadolibre.com.mx/MLM-571496278-figura-amiibo-rover-serie-animal-croosing-nintendo-wii-u-_JM","Figura Amiibo Rover Serie Animal Croosing Nintendo Wii U","","http://articulo.mercadolibre.com.mx/MLM-571496278-figura-amiibo-rover-serie-animal-croosing-nintendo-wii-u-_JM","","","https://http2.mlstatic.com/amiibo-nintendo-D_Q_NP_217515-MLM25247901881_122016-H.jpg","Figura Amiibo Rover Serie Animal Croosing Nintendo Wii U","299","0","12","meses de","29","54","Envío gratis","","","Distrito Federal"
"http://articulo.mercadolibre.com.mx/MLM-571496312-videojuego-splatoon-nintendo-wii-u-gamer-_JM","Videojuego Splatoon Nintendo Wii U Gamer","","http://articulo.mercadolibre.com.mx/MLM-571496312-videojuego-splatoon-nintendo-wii-u-gamer-_JM","","","https://http2.mlstatic.com/videojuegos-D_Q_NP_680615-MLM25247906658_122016-H.jpg","Videojuego Splatoon Nintendo Wii U Gamer","1399","0","12","meses de","138","21","Envío gratis","","","Distrito Federal"
